"product name link","product price link","product rating link"
"APPLE iPhone SE (Red, 64 GB)","₹30,199","1,29,107 Ratings "
"APPLE iPhone SE (White, 64 GB)","₹30,199","1,29,107 Ratings "
"APPLE iPhone SE (Black, 64 GB)","₹30,199","1,29,107 Ratings "
"APPLE iPhone 6s Plus (Rose Gold, 32 GB)","₹34,900","18,837 Ratings "
"APPLE iPhone SE (White, 128 GB)","₹35,199","1,29,107 Ratings "
"APPLE iPhone SE (Red, 128 GB)","₹35,199","1,29,107 Ratings "
"APPLE iPhone SE (Black, 128 GB)","₹35,199","1,29,107 Ratings "
"APPLE iPhone 7 Plus (Black, 32 GB)","₹36,999","29,781 Ratings "
"APPLE iPhone 8 (Gold, 64 GB)","₹38,999","11,316 Ratings "















